HJD,UT Date,Camera,FWHM,Limit,mag,mag_err,flux(mJy),flux_err,Filter
2458295.45804,2018-06-25.9545979,bp,1.56,16.016,>16.016,99.990,0.817,0.285,g
2458295.45924,2018-06-25.9558027,bp,1.60,16.036,>16.036,99.990,0.412,0.280,g
2458295.46045,2018-06-25.9570096,bp,1.71,15.957,>15.957,99.990,-0.037,0.301,g
2458295.75922,2018-06-26.2557609,bt,1.58,16.182,>16.182,99.990,0.206,0.244,g
2458295.76044,2018-06-26.2569828,bt,1.63,16.178,>16.178,99.990,0.217,0.246,g
2458295.76165,2018-06-26.2581979,bt,1.56,16.251,>16.251,99.990,0.110,0.229,g
2458295.93508,2018-06-26.4316077,bt,1.55,16.758,>16.758,99.990,0.590,0.144,g
2458295.93751,2018-06-26.4340410,bt,1.55,17.052,16.930,0.196,0.614,0.110,g
2458296.47322,2018-06-26.9697168,bp,1.57,16.431,>16.431,99.990,0.866,0.194,g
2458296.47443,2018-06-26.9709311,bp,1.52,16.302,>16.302,99.990,0.532,0.219,g
2458296.47565,2018-06-26.9721560,bp,1.58,16.271,>16.271,99.990,0.171,0.225,g
2458296.70869,2018-06-27.2051771,bl,1.59,16.141,>16.141,99.990,0.730,0.254,g
2458296.70991,2018-06-27.2063967,bl,1.54,16.213,>16.213,99.990,0.208,0.238,g
2458296.71113,2018-06-27.2076195,bl,1.51,16.110,>16.110,99.990,0.480,0.261,g
2458298.00042,2018-06-28.4968278,bd,1.63,16.010,>16.010,99.990,0.690,0.303,V
2458298.00169,2018-06-28.4981011,bd,1.64,16.068,>16.068,99.990,1.225,0.287,V
2458298.00297,2018-06-28.4993780,bd,1.63,16.153,>16.153,99.990,0.893,0.265,V
2458298.45564,2018-06-28.9520180,bp,1.46,16.128,>16.128,99.990,0.023,0.257,g
2458298.45685,2018-06-28.9532335,bp,1.62,16.015,>16.015,99.990,0.131,0.285,g
2458298.84363,2018-06-29.3399858,bl,1.54,16.170,>16.170,99.990,0.919,0.247,g
2458298.84485,2018-06-29.3412065,bl,1.52,16.273,>16.273,99.990,0.599,0.225,g
2458298.84606,2018-06-29.3424224,bl,1.55,16.223,>16.223,99.990,0.328,0.235,g
2458300.80138,2018-07-01.2976265,bl,2.23,16.623,16.405,0.180,0.995,0.163,g
2458300.80260,2018-07-01.2988510,bl,2.17,16.253,>16.253,99.990,0.280,0.229,g
2458300.80382,2018-07-01.3000649,bl,2.15,16.175,>16.175,99.990,0.427,0.246,g
2458302.74192,2018-07-03.2380525,bt,1.53,16.495,>16.495,99.990,0.340,0.183,g
2458302.74314,2018-07-03.2392701,bt,1.59,16.482,>16.482,99.990,0.444,0.186,g
2458302.74435,2018-07-03.2404863,bt,1.49,16.624,>16.624,99.990,0.492,0.163,g
2458303.50576,2018-07-04.0018512,bp,1.48,16.896,>16.896,99.990,0.389,0.127,g
2458303.50845,2018-07-04.0045396,bp,1.48,17.000,>17.000,99.990,0.437,0.115,g
2458303.50984,2018-07-04.0059315,bp,1.47,16.864,>16.864,99.990,0.499,0.131,g
2458304.53204,2018-07-05.0280809,bp,1.57,16.963,>16.963,99.990,0.522,0.119,g
2458304.53326,2018-07-05.0292971,bp,1.54,17.093,>17.093,99.990,0.257,0.106,g
2458304.53446,2018-07-05.0305031,bp,1.56,16.968,>16.968,99.990,0.577,0.119,g
2458304.78496,2018-07-05.2809862,bt,1.49,17.245,>17.245,99.990,0.310,0.092,g
2458304.78618,2018-07-05.2822043,bt,1.56,17.228,17.111,0.197,0.519,0.093,g
2458304.78739,2018-07-05.2834160,bt,1.55,17.130,>17.130,99.990,0.458,0.102,g
2458305.45502,2018-07-05.9510075,bp,1.63,17.286,>17.286,99.990,0.303,0.088,g
2458305.45631,2018-07-05.9523032,bp,1.56,17.452,17.188,0.172,0.484,0.076,g
2458305.45753,2018-07-05.9535196,bp,1.57,17.352,17.138,0.180,0.507,0.083,g
2458306.48424,2018-07-06.9801781,bp,1.50,17.531,16.899,0.122,0.632,0.071,g
2458306.48548,2018-07-06.9814121,bp,1.46,17.663,17.288,0.155,0.441,0.063,g
2458306.48668,2018-07-06.9826145,bp,1.51,17.510,17.134,0.155,0.509,0.072,g
