HJD,UT Date,Camera,FWHM,Limit,mag,mag_err,flux(mJy),flux_err,Filter
2458242.73756,2018-05-04.2333778,bi,1.48,16.546,15.613,0.093,2.064,0.175,g
2458243.73384,2018-05-05.2297305,bi,1.41,16.511,15.871,0.121,1.628,0.181,g
2458243.73507,2018-05-05.2309540,bi,1.43,16.574,15.674,0.096,1.953,0.170,g
2458243.73629,2018-05-05.2321690,bi,1.39,16.575,15.597,0.089,2.095,0.170,g
2458243.90044,2018-05-05.3963332,ba,1.58,16.860,15.343,0.054,2.799,0.139,V
2458243.90173,2018-05-05.3976184,ba,1.62,16.694,15.461,0.070,2.509,0.161,V
2458243.90300,2018-05-05.3988930,ba,1.62,16.534,15.508,0.085,2.403,0.187,V
2458244.60847,2018-05-06.1044074,bq,1.71,16.201,15.775,0.148,1.779,0.240,g
2458244.60968,2018-05-06.1056135,bq,1.69,16.259,15.576,0.117,2.135,0.228,g
2458244.61089,2018-05-06.1068186,bq,1.55,16.054,15.603,0.145,2.083,0.275,g
2458244.88303,2018-05-06.3789738,ba,1.72,16.965,15.458,0.054,2.516,0.126,V
2458244.88558,2018-05-06.3815353,ba,1.67,17.000,15.446,0.052,2.543,0.122,V
2458245.56243,2018-05-07.0584149,bi,1.43,16.698,15.643,0.083,2.008,0.152,g
2458245.56364,2018-05-07.0596368,bi,1.48,16.445,15.868,0.129,1.632,0.192,g
2458245.56487,2018-05-07.0608642,bi,1.45,16.877,15.633,0.070,2.027,0.129,g
2458245.72908,2018-05-07.2250877,bi,1.86,16.530,15.749,0.107,1.822,0.178,g
2458245.73030,2018-05-07.2263025,bi,1.84,16.717,15.958,0.109,1.502,0.150,g
2458245.73151,2018-05-07.2275201,bi,1.79,16.569,15.796,0.107,1.744,0.171,g
2458246.72280,2018-05-08.2188657,bi,1.59,16.854,15.629,0.071,2.034,0.132,g
2458246.72402,2018-05-08.2200821,bi,1.66,16.800,15.639,0.075,2.016,0.139,g
2458246.72524,2018-05-08.2213031,bi,1.55,16.956,15.701,0.069,1.904,0.120,g
2458246.91861,2018-05-08.4146839,ba,1.78,15.869,15.410,0.143,2.630,0.345,V
2458246.91989,2018-05-08.4159612,ba,1.79,15.525,15.500,0.214,2.421,0.473,V
2458247.71406,2018-05-09.2101796,bi,1.79,16.123,15.639,0.140,2.015,0.258,g
2458247.71528,2018-05-09.2113971,bi,1.69,16.166,15.801,0.156,1.737,0.248,g
2458247.71649,2018-05-09.2126179,bi,1.74,16.528,15.526,0.087,2.236,0.178,g
2458249.71346,2018-05-11.2097144,bi,1.46,17.262,15.764,0.055,1.795,0.091,g
2458249.71468,2018-05-11.2109296,bi,1.46,17.218,15.679,0.053,1.941,0.094,g
2458249.71590,2018-05-11.2121504,bi,1.42,17.166,15.703,0.057,1.901,0.099,g
2458251.65231,2018-05-13.1486931,bi,1.42,16.576,15.814,0.108,1.715,0.170,g
2458251.65353,2018-05-13.1499106,bi,1.42,16.775,15.842,0.093,1.673,0.142,g
2458251.65475,2018-05-13.1511295,bi,1.42,16.637,15.736,0.095,1.843,0.161,g
2458253.69639,2018-05-15.1929172,bi,1.39,17.323,15.717,0.050,1.876,0.086,g
2458253.69761,2018-05-15.1941335,bi,1.40,17.214,15.680,0.053,1.941,0.095,g
2458253.69882,2018-05-15.1953518,bi,1.43,17.333,15.787,0.053,1.759,0.085,g
2458254.59556,2018-05-16.0921475,bi,1.32,17.257,15.735,0.054,1.846,0.091,g
2458254.59678,2018-05-16.0933658,bi,1.35,17.207,15.668,0.053,1.963,0.095,g
2458254.59800,2018-05-16.0945824,bi,1.38,17.202,15.619,0.051,2.053,0.096,g
2458257.64635,2018-05-19.1431509,bi,1.60,17.033,15.711,0.065,1.887,0.112,g
2458257.64878,2018-05-19.1455820,bi,1.56,17.146,15.692,0.057,1.920,0.101,g
2458259.57451,2018-05-21.0714634,bi,1.41,17.240,15.861,0.061,1.643,0.092,g
2458259.57573,2018-05-21.0726800,bi,1.38,17.130,15.695,0.058,1.914,0.102,g
2458260.56722,2018-05-22.0642482,bi,1.42,16.951,15.657,0.066,1.984,0.121,g
2458260.56844,2018-05-22.0654609,bi,1.42,16.953,15.678,0.068,1.944,0.120,g
2458260.56965,2018-05-22.0666758,bi,1.46,16.966,15.762,0.072,1.799,0.119,g
2458265.39684,2018-05-26.8942476,bm,1.56,16.118,15.623,0.139,2.044,0.259,g
2458265.39805,2018-05-26.8954574,bm,1.61,16.039,15.600,0.146,2.090,0.279,g
2458265.39927,2018-05-26.8966741,bm,1.58,16.114,15.273,0.101,2.825,0.260,g
2458265.66550,2018-05-27.1629204,bi,1.51,16.033,15.533,0.138,2.222,0.281,g
2458265.66672,2018-05-27.1641424,bi,1.61,16.205,15.831,0.155,1.689,0.239,g
2458265.66794,2018-05-27.1653704,bi,1.56,15.968,15.663,0.165,1.971,0.298,g
2458266.64302,2018-05-28.1405291,bi,1.36,15.858,15.735,0.196,1.846,0.330,g
2458266.64546,2018-05-28.1429674,bi,1.51,15.894,15.626,0.171,2.039,0.319,g
2458268.29697,2018-05-29.7946094,bm,1.60,16.168,16.074,0.201,1.351,0.248,g
2458268.29819,2018-05-29.7958271,bm,1.59,16.255,15.681,0.129,1.940,0.229,g
2458268.29940,2018-05-29.7970425,bm,1.66,16.236,16.073,0.189,1.352,0.233,g
2458269.19587,2018-05-30.6935880,bm,1.62,16.612,15.654,0.091,1.988,0.165,g
2458269.19714,2018-05-30.69485,bm,1.55,16.690,15.776,0.094,1.777,0.153,g
2458271.80481,2018-06-02.3027369,ba,1.69,16.959,15.377,0.051,2.711,0.127,V
2458271.80609,2018-06-02.3040158,ba,1.71,17.127,15.499,0.049,2.422,0.109,V
2458271.80736,2018-06-02.3052885,ba,1.65,17.002,15.477,0.054,2.474,0.122,V
2458275.55222,2018-06-06.0504656,bi,1.77,15.607,>15.607,99.990,1.739,0.415,g
2458276.61869,2018-06-07.1170273,bi,1.45,17.301,15.743,0.052,1.833,0.087,g
2458276.61991,2018-06-07.1182565,bi,1.41,17.293,15.757,0.053,1.807,0.088,g
2458276.62114,2018-06-07.1194747,bi,1.45,17.285,15.614,0.047,2.063,0.089,g
2458278.62103,2018-06-09.1195478,bi,1.38,15.944,15.523,0.149,2.244,0.305,g
2458278.62225,2018-06-09.1207665,bi,1.39,15.967,15.719,0.174,1.872,0.299,g
2458278.62347,2018-06-09.1219856,bi,1.36,16.505,15.668,0.101,1.962,0.182,g
2458282.52139,2018-06-13.0202548,bi,1.72,17.273,15.727,0.053,1.860,0.090,g
2458282.52261,2018-06-13.0214721,bi,1.74,17.327,15.695,0.049,1.914,0.085,g
