HJD,UT Date,Camera,FWHM,Limit,mag,mag_err,flux(mJy),flux_err,Filter
2458803.26718,2019-11-15.7683170,bn,1.71,17.425,>17.425,99.990,-0.064,0.078,g
2458803.26840,2019-11-15.7695375,bn,1.73,17.224,>17.224,99.990,-0.095,0.094,g
2458803.26961,2019-11-15.7707543,bn,1.72,17.451,>17.451,99.990,0.024,0.076,g
2458803.27829,2019-11-15.7794259,bm,1.55,17.274,>17.274,99.990,-0.106,0.089,g
2458803.27949,2019-11-15.7806288,bm,1.62,17.530,>17.530,99.990,-0.016,0.071,g
2458803.28071,2019-11-15.7818479,bm,1.58,17.305,>17.305,99.990,0.212,0.087,g
2458803.67942,2019-11-16.1805909,bF,1.58,16.382,>16.382,99.990,0.264,0.203,g
2458803.68068,2019-11-16.1818585,bF,1.54,16.392,>16.392,99.990,-0.201,0.201,g
2458803.68196,2019-11-16.1831274,bF,1.54,16.389,>16.389,99.990,-0.516,0.202,g
2458804.64219,2019-11-17.1434199,bE,1.43,16.932,>16.932,99.990,0.077,0.123,g
2458804.64345,2019-11-17.1446833,bE,1.46,16.969,>16.969,99.990,0.180,0.118,g
2458804.64472,2019-11-17.1459599,bE,1.48,16.781,>16.781,99.990,-0.117,0.141,g
2458804.67979,2019-11-17.1810251,bF,1.57,16.391,>16.391,99.990,0.036,0.202,g
2458804.68110,2019-11-17.1823403,bF,1.59,16.410,>16.410,99.990,0.121,0.198,g
2458804.68236,2019-11-17.1836004,bF,1.59,16.327,>16.327,99.990,0.084,0.214,g
2458805.64035,2019-11-18.1416490,bE,1.45,17.113,>17.113,99.990,0.058,0.104,g
2458805.64162,2019-11-18.1429190,bE,1.47,17.230,>17.230,99.990,0.085,0.093,g
2458805.64288,2019-11-18.1441798,bE,1.48,17.192,>17.192,99.990,0.087,0.096,g
2458805.67705,2019-11-18.17835,bF,1.55,17.253,>17.253,99.990,0.012,0.091,g
2458805.67831,2019-11-18.1796138,bF,1.56,17.072,>17.072,99.990,-0.026,0.108,g
2458805.67959,2019-11-18.1808910,bF,1.55,17.209,>17.209,99.990,0.065,0.095,g
2458806.29880,2019-11-18.8001440,bm,1.52,16.323,>16.323,99.990,0.465,0.215,g
2458806.30002,2019-11-18.8013642,bm,1.45,16.509,>16.509,99.990,-0.454,0.181,g
2458806.30123,2019-11-18.8025827,bm,1.46,16.276,>16.276,99.990,0.235,0.224,g
2458806.63725,2019-11-19.1386164,bE,1.47,17.114,>17.114,99.990,-0.025,0.104,g
2458806.63853,2019-11-19.1399021,bE,1.46,17.186,>17.186,99.990,0.103,0.097,g
2458806.63982,2019-11-19.1411884,bE,1.47,17.200,>17.200,99.990,0.066,0.096,g
2458806.67409,2019-11-19.1754541,bF,1.58,17.476,>17.476,99.990,-0.043,0.074,g
2458806.67536,2019-11-19.1767307,bF,1.55,17.484,>17.484,99.990,0.014,0.074,g
2458806.67662,2019-11-19.1779974,bF,1.68,17.493,>17.493,99.990,-0.124,0.073,g
2458807.67143,2019-11-20.1728584,bF,1.60,17.576,>17.576,99.990,-0.008,0.068,g
2458807.67271,2019-11-20.1741458,bF,1.62,17.337,>17.337,99.990,0.103,0.084,g
2458807.67398,2019-11-20.1754078,bF,1.63,17.464,>17.464,99.990,0.013,0.075,g
2458808.33398,2019-11-20.8354645,bn,1.49,17.650,>17.650,99.990,0.081,0.063,g
2458808.33520,2019-11-20.8366769,bn,1.50,17.751,>17.751,99.990,0.025,0.058,g
2458808.33641,2019-11-20.8378975,bn,1.50,17.820,>17.820,99.990,-0.205,0.054,g
2458808.66861,2019-11-21.1701116,bF,1.71,17.382,>17.382,99.990,0.072,0.081,g
2458808.66987,2019-11-21.1713730,bF,1.70,17.602,>17.602,99.990,0.069,0.066,g
2458808.67115,2019-11-21.1726468,bF,1.66,17.415,>17.415,99.990,-0.033,0.079,g
2458809.66193,2019-11-22.1634907,bF,1.60,17.386,>17.386,99.990,-0.009,0.081,g
2458809.66319,2019-11-22.1647546,bF,1.69,17.428,>17.428,99.990,0.009,0.078,g
2458809.66453,2019-11-22.1661153,bF,1.57,17.274,>17.274,99.990,-0.044,0.089,g
2458810.62011,2019-11-23.1217293,bi,1.37,17.257,>17.257,99.990,0.090,0.091,g
2458810.62132,2019-11-23.1229405,bi,1.38,17.178,>17.178,99.990,0.268,0.098,g
2458810.62254,2019-11-23.1241684,bi,1.37,17.235,>17.235,99.990,0.161,0.093,g
2458810.66196,2019-11-23.1635905,bF,1.59,17.550,>17.550,99.990,-0.097,0.069,g
2458810.66323,2019-11-23.1648680,bF,1.61,17.516,>17.516,99.990,-0.027,0.072,g
2458810.66453,2019-11-23.1661557,bF,1.63,17.468,>17.468,99.990,0.091,0.075,g
2458812.51205,2019-11-25.0137960,bi,1.41,16.083,>16.083,99.990,0.094,0.268,g
2458812.51326,2019-11-25.0150190,bi,1.39,16.279,>16.279,99.990,0.051,0.224,g
2458812.51451,2019-11-25.0162489,bi,1.39,16.238,>16.238,99.990,0.160,0.232,g
2458812.51576,2019-11-25.0174986,bj,1.51,16.426,>16.426,99.990,-0.025,0.195,g
2458812.51698,2019-11-25.0187211,bj,1.54,16.569,>16.569,99.990,0.118,0.171,g
2458812.51820,2019-11-25.0199435,bj,1.52,16.763,>16.763,99.990,0.230,0.143,g
2458813.61388,2019-11-26.1156991,bi,1.38,17.091,>17.091,99.990,0.185,0.106,g
2458813.65083,2019-11-26.1526464,bF,1.48,17.478,>17.478,99.990,0.095,0.074,g
2458813.65211,2019-11-26.1539187,bF,1.52,17.372,>17.372,99.990,0.087,0.082,g
2458813.65338,2019-11-26.1551938,bF,1.60,17.546,>17.546,99.990,-0.107,0.070,g
2458814.35166,2019-11-26.8535218,bm,1.46,17.525,>17.525,99.990,-0.010,0.071,g
2458814.35288,2019-11-26.8547369,bm,1.49,17.315,>17.315,99.990,-0.034,0.086,g
2458814.35409,2019-11-26.8559503,bm,1.49,17.390,>17.390,99.990,-0.018,0.080,g
2458814.64816,2019-11-27.1500429,bj,1.61,17.205,>17.205,99.990,-0.052,0.095,g
2458814.64938,2019-11-27.1512633,bj,1.57,17.132,>17.132,99.990,0.020,0.102,g
2458814.65208,2019-11-27.1539557,bF,1.57,17.329,>17.329,99.990,0.025,0.085,g
2458814.65335,2019-11-27.1552273,bF,1.53,17.491,>17.491,99.990,0.028,0.073,g
2458814.65462,2019-11-27.1564940,bF,1.58,17.334,>17.334,99.990,0.032,0.085,g
2458815.33482,2019-11-27.8367407,bm,1.56,17.295,>17.295,99.990,-0.034,0.088,g
2458815.33602,2019-11-27.8379486,bm,1.50,17.239,>17.239,99.990,0.040,0.092,g
2458815.33723,2019-11-27.8391537,bm,1.49,17.256,>17.256,99.990,-0.081,0.091,g
2458815.61193,2019-11-28.113875,bE,1.46,17.055,>17.055,99.990,0.437,0.109,g
2458815.61321,2019-11-28.1151557,bE,1.44,17.244,>17.244,99.990,-0.104,0.092,g
2458815.61448,2019-11-28.1164309,bE,1.47,17.031,>17.031,99.990,-0.107,0.112,g
2458815.64696,2019-11-28.1488981,bF,1.55,17.432,>17.432,99.990,0.009,0.077,g
