# UVOT photometry at full time resolution, using 5.0" aperture
# host-subtracted AB magnitudes, not corrected for Galactic extinction
# total counts/s as based on "CORR_RATE" from uvotsource and thus include the host contribution
# only including observations with SNR>0.5 and positive host-subtracted flux
# 
filter  MJD          ab_mag ab_mag_err count_rate count_rate_err exposure
UVM2   57601.596769    20.71     0.12    0.140    0.014   1249.068 
UVM2   57608.082434    20.84     0.22    0.125    0.025    397.165 
UVM2   57609.435825    20.92     0.21    0.116    0.022    440.416 
UVM2   57611.559309    20.60     0.14    0.153    0.019    720.988 
UVM2   57615.541362    20.74     0.11    0.136    0.013   1501.236 
UVM2   57622.450598    20.75     0.10    0.135    0.012   1734.276 
UVM2   57625.020526    20.44     0.27    0.178    0.043    153.610 
UVM2   57626.709996    21.14     0.25    0.095    0.021    455.249 
UVM2   57630.427085    21.23     0.25    0.088    0.019    503.462 
UVM2   57632.944359    20.98     0.23    0.110    0.022    469.778 
UVM2   57640.350178    21.16     0.14    0.093    0.011   1739.695 
UVM2   57645.706001    20.95     0.18    0.112    0.018    630.001 
UVM2   57654.990243    20.94     0.11    0.113    0.011   1738.490 
UVM2   57667.609064    21.14     0.15    0.095    0.012   1388.583 
UVM2   57677.901101    21.08     0.19    0.100    0.017    775.652 
UVM2   57680.200354    20.60     0.29    0.154    0.039    163.915 
UVM2   57683.189234    20.88     0.13    0.119    0.014   1103.178 
UVM2   57687.504052    21.12     0.20    0.097    0.016    772.231 
UVM2   57688.932209    21.22     0.24    0.089    0.018    649.884 
UVM2   57704.227240    21.33     0.17    0.081    0.012   1299.030 
UVM2   57714.585339    21.11     0.21    0.097    0.018    629.317 
UVM2   57719.629068    21.37     0.41    0.077    0.028    231.056 
UVM2   57725.944950    22.03     1.01    0.044    0.037    130.676 
UVM2   57726.038815    21.04     0.22    0.104    0.020    559.570 
UVM2   57730.766068    21.22     0.24    0.088    0.019    589.628 
UVM2   57746.570833    21.06     0.14    0.102    0.013   1416.903 
UVM2   57757.775122    21.14     0.15    0.095    0.013   1374.499 
UVM2   57793.451209    21.34     0.25    0.079    0.018    669.864 
UVM2   57794.541760    21.20     0.23    0.090    0.018    662.426 
UVM2   57798.191420    21.24     0.21    0.087    0.016   1002.766 
UVM2   57881.552025    21.50     0.19    0.070    0.011   1483.142 
UVM2   58324.597268    22.31     0.30    0.035    0.008   1735.177 
UVM2   59153.369770    22.43     0.59    0.032    0.015    482.342 
UVM2   59154.665354    23.04     0.72    0.020    0.010    713.039 
UVM2   59160.620007    22.96     0.56    0.021    0.009   1321.518 
UVW1   57197.093871    16.71     0.04    7.878    0.218    410.716 
UVW1   57199.783798    16.77     0.04    7.448    0.214    379.465 
UVW1   57201.816224    16.84     0.04    6.979    0.206    366.423 
UVW1   57205.633359    17.01     0.04    6.013    0.176    438.276 
UVW1   57208.660993    17.19     0.05    5.085    0.157    429.361 
UVW1   57211.655486    17.28     0.05    4.664    0.151    400.881 
UVW1   57214.668557    17.39     0.05    4.236    0.157    300.705 
UVW1   57214.709614    17.43     0.07    4.055    0.227    113.925 
UVW1   57219.789090    17.71     0.06    3.163    0.136    273.015 
UVW1   57221.679485    17.77     0.06    2.980    0.144    223.178 
UVW1   57223.508317    17.90     0.05    2.653    0.104    419.802 
UVW1   57226.514823    18.08     0.05    2.245    0.077    736.777 
UVW1   57229.264423    18.20     0.06    2.004    0.090    398.644 
UVW1   57232.893539    18.45     0.06    1.597    0.078    419.330 
UVW1   57241.118616    18.72     0.06    1.259    0.054    718.764 
UVW1   57244.878352    18.92     0.07    1.045    0.061    449.316 
UVW1   57248.467892    18.92     0.06    1.050    0.050    719.539 
UVW1   57250.701398    18.80     0.10    1.171    0.102    164.125 
UVW1   57253.667653    18.88     0.08    1.088    0.078    268.009 
UVW1   57255.689453    18.99     0.07    0.981    0.052    603.625 
UVW1   57259.399636    19.02     0.09    0.956    0.069    304.642 
UVW1   57262.726564    19.03     0.07    0.951    0.050    649.395 
UVW1   57265.558295    18.98     0.07    0.993    0.058    453.249 
UVW1   57268.783117    18.98     0.08    0.992    0.062    400.867 
UVW1   57272.600666    18.86     0.06    1.100    0.056    578.878 
UVW1   57272.872952    18.88     0.08    1.089    0.074    306.609 
UVW1   57277.351803    18.62     0.06    1.371    0.059    716.829 
UVW1   57282.876593    18.63     0.06    1.358    0.067    481.963 
UVW1   57283.406797    18.61     0.06    1.388    0.068    487.489 
UVW1   57284.368740    18.57     0.06    1.441    0.060    707.443 
UVW1   57284.769369    18.57     0.06    1.431    0.068    515.570 
UVW1   57290.869151    18.60     0.06    1.396    0.065    539.644 
UVW1   57293.561675    18.48     0.06    1.557    0.071    503.430 
UVW1   57296.623744    18.36     0.05    1.747    0.072    575.088 
UVW1   57298.639492    18.46     0.05    1.593    0.063    707.148 
UVW1   57299.512561    18.41     0.06    1.666    0.072    532.564 
UVW1   57302.571046    18.45     0.06    1.596    0.068    594.558 
UVW1   57305.485307    18.32     0.05    1.798    0.073    599.705 
UVW1   57307.446809    18.39     0.06    1.691    0.078    455.236 
UVW1   57309.672828    18.25     0.07    1.924    0.117    216.216 
UVW1   57311.304535    18.30     0.06    1.834    0.093    345.975 
UVW1   57313.235345    18.28     0.06    1.868    0.089    395.058 
UVW1   57316.235896    18.40     0.06    1.674    0.085    372.678 
UVW1   57317.727347    18.48     0.06    1.563    0.078    414.452 
UVW1   57319.759719    18.46     0.06    1.591    0.082    366.673 
UVW1   57322.724666    18.26     0.12    1.907    0.211     58.682 
